iter	Passed	Remaining
1270	7055	1271
1271	7061	1265
1272	7067	1260
1273	7073	1254
1274	7079	1249
1275	7084	1243
1276	7090	1238
1277	7096	1232
1278	7102	1227
1279	7106	1221
1280	7112	1216
1281	7118	1210
1282	7124	1204
1283	7130	1199
1284	7136	1194
1285	7142	1188
1286	7147	1182
1287	7152	1177
1288	7158	1171
1289	7162	1166
1290	7168	1160
1291	7174	1154
1292	7179	1149
1293	7186	1144
1294	7192	1138
1295	7197	1132
1296	7203	1127
1297	7208	1121
1298	7213	1116
1299	7219	1110
1300	7225	1105
1301	7231	1099
1302	7237	1094
1303	7243	1088
1304	7248	1083
1305	7254	1077
1306	7260	1072
1307	7266	1066
1308	7272	1061
1309	7278	1055
1310	7283	1050
1311	7289	1044
1312	7295	1039
1313	7301	1033
1314	7305	1027
1315	7312	1022
1316	7318	1016
1317	7324	1011
1318	7329	1005
1319	7334	1000
1320	7340	994
1321	7345	989
1322	7351	983
1323	7356	977
1324	7362	972
1325	7367	966
1326	7373	961
1327	7379	955
1328	7385	950
1329	7391	944
1330	7396	939
1331	7402	933
1332	7408	928
1333	7414	922
1334	7420	917
1335	7425	911
1336	7431	906
1337	7437	900
1338	7443	894
1339	7447	889
1340	7452	883
1341	7458	878
1342	7464	872
1343	7470	867
1344	7476	861
1345	7482	856
1346	7487	850
1347	7493	844
1348	7499	839
1349	7505	833
1350	7511	828
1351	7517	822
1352	7522	817
1353	7528	811
1354	7533	806
1355	7539	800
1356	7545	795
1357	7551	789
1358	7557	784
1359	7563	778
1360	7569	773
1361	7575	767
1362	7581	762
1363	7586	756
1364	7592	750
1365	7596	745
1366	7601	739
1367	7607	734
1368	7613	728
1369	7618	722
1370	7624	717
1371	7630	711
1372	7636	706
1373	7640	700
1374	7646	695
1375	7652	689
1376	7658	684
1377	7664	678
1378	7669	672
1379	7675	667
1380	7680	661
1381	7686	656
1382	7691	650
1383	7698	645
1384	7704	639
1385	7710	634
1386	7716	628
1387	7722	623
1388	7728	617
1389	7733	612
1390	7738	606
1391	7743	600
1392	7748	595
1393	7753	589
1394	7757	583
1395	7763	578
1396	7769	572
1397	7774	567
1398	7779	561
1399	7784	556
1400	7790	550
1401	7796	544
1402	7802	539
1403	7808	533
1404	7813	528
1405	7818	522
1406	7822	517
1407	7828	511
1408	7834	505
1409	7839	500
1410	7845	494
1411	7850	489
1412	7856	483
1413	7862	478
1414	7868	472
1415	7874	467
1416	7880	461
1417	7886	456
1418	7892	450
1419	7898	444
1420	7904	439
1421	7910	433
1422	7915	428
1423	7920	422
1424	7927	417
1425	7933	411
1426	7938	406
1427	7944	400
1428	7950	395
1429	7956	389
1430	7961	383
1431	7965	378
1432	7971	372
1433	7977	367
1434	7983	361
1435	7988	356
1436	7994	350
1437	7999	344
1438	8006	339
1439	8011	333
1440	8015	328
1441	8020	322
1442	8026	317
1443	8032	311
1444	8037	305
1445	8042	300
1446	8047	294
1447	8052	289
1448	8058	283
1449	8064	278
1450	8070	272
1451	8076	266
1452	8082	261
1453	8087	255
1454	8093	250
1455	8098	244
1456	8104	239
1457	8110	233
1458	8116	228
1459	8122	222
1460	8129	216
1461	8134	211
1462	8139	205
1463	8145	200
1464	8151	194
1465	8156	189
1466	8162	183
1467	8167	178
1468	8173	172
1469	8179	166
1470	8185	161
1471	8191	155
1472	8197	150
1473	8203	144
1474	8208	139
1475	8213	133
1476	8218	127
1477	8224	122
1478	8230	116
1479	8235	111
1480	8240	105
1481	8245	100
1482	8251	94
1483	8256	89
1484	8262	83
1485	8268	77
1486	8273	72
1487	8278	66
1488	8284	61
1489	8290	55
1490	8296	50
1491	8302	44
1492	8309	38
1493	8314	33
1494	8320	27
1495	8326	22
1496	8332	16
1497	8337	11
1498	8342	5
1499	8347	0
